"id","name","description","default_code"
"__export__.product_template_594_84bef6fa","Lemon Tree - Stickers","","AC0023"
"__export__.product_template_591_02d9bd3f","Lemon Tree - Wearables - Beanies","","AC0020"
"__export__.product_template_590_33b1efd7","Lemon Tree - Wearables - Hats","","AC0019"
"__export__.product_template_587_1192ad5e","Lemon Tree - Wearables - Joggers","","AC0016"
"__export__.product_template_586_414b3a32","Lemon Tree - Wearables - Men's Crewneck","","AC0015"
"__export__.product_template_585_ee297f7a","Lemon Tree - Wearables - Men's Hoodie","","AC0014"
"__export__.product_template_583_63bd53b5","Lemon Tree - Wearables - Men's Long Sleeve","","AC0013"
"__export__.product_template_581_f12d8afd","Lemon Tree - Wearables - Men's T-shirt (assorted design)","","AC0011"
"__export__.product_template_582_8365abba","Lemon Tree - Wearables - Men's T-shirt - Tie Dye (assorted design)","","AC0012"
"__export__.product_template_584_7ec9b8dd","Lemon Tree - Wearables - Men's Tank Top","","AC0014"
"__export__.product_template_592_62ce8bcd","Lemon Tree - Wearables - Pin","","AC0021"
"__export__.product_template_640_1e5a62fa","Lemon Tree - Wearables - Socks (various designs)","","AC0024"
"__export__.product_template_589_d724e898","Lemon Tree - Wearables - Women's Hoodies","","AC0018"
"__export__.product_template_588_02762b22","Lemon Tree - Wearables - Women's Shirts","","AC0017"
"__export__.product_template_664_325b6917","Neutron Genetics - Prepackaged Flower - Cherry Glue - 3.5g","","FL0020"
"__export__.product_template_665_67b0f7a9","Neutron Genetics - Prepackaged Flower - Super Glue - 3.5g ","","FL0021"
"__export__.product_template_645_b56b650b","Neutron Genetics - Shatter - Cherry Glue - 0.5g","","CO0045"
"__export__.product_template_644_e8030eba","Neutron Genetics - Shatter - Gelato - 0.5g","","CO0044"
"__export__.product_template_606_30cf69fe","Neutron Genetics - Shatter - Purple Jack - 0.5g","","CO0058"
"__export__.product_template_646_a8613d63","Neutron Genetics - Shatter - White Fire OG - 0.5g","","CO0046"
"__export__.product_template_661_377a2cbb","Riverview - Gorilla Glue - Bulk Flower - 1lb","","FL0022"
"__export__.product_template_663_cfef9057","Riverview - Real Fire - Bulk Flower - 1lb","","FL0023"
"__export__.product_template_662_a9ee9727","Riverview - True OG - Bulk Flower - 1lb","","FL0024"
"import_03_30_0019","Sacred Biology -  - CBD Healing Balm - 100mg","","TP0003"
"import_03_30_0018","Sacred Biology -  - CBD Healing Balm - 50mg","","TP0002"
"import_03_30_0017","Sacred Biology -  - CBD Muscle Rub - 150mg","","TP0001"
"__export__.product_template_566_35895d25","Sacred Biology - CBD Lotion Energize - 50mg","","TP0012"
"import_03_30_0020","Sacred Biology - CBD Lotion Relax - 50mg","","TP0004"
"__export__.product_template_610_b3cfcf41","Tokin Vapes CBD Cartridge Cupcake","","VA0039"
"__export__.product_template_671_f0bd2d12","Tokin Vapes Cartridge Banana 0.5g","","VA0038"
"__export__.product_template_599_119912de","Tokin Vapes Cartridge Bubble Gum","","VA0023"
"__export__.product_template_668_ff658b5b","Tokin Vapes Cartridge Bubble Gum 0.5g","","VA0035"
"__export__.product_template_598_693798f7","Tokin Vapes Cartridge Jack Herer","","VA0024"
"__export__.product_template_669_91d6ffae","Tokin Vapes Cartridge Jack Herer 0.5g","","VA0036"
"__export__.product_template_603_c231be59","Tokin Vapes Cartridge Strawberry Kush","","VA0028"
"__export__.product_template_670_df813412","Tokin Vapes Cartridge Strawberry Kush","","VA0037"
"__export__.product_template_653_b364c109","Tokin Vapes Disposable CBD Pen Banana","","VA0034"
"__export__.product_template_601_b20640e2","Tokin Vapes Disposable CBD Pen Strawberry Kush","","VA0026"
"__export__.product_template_602_76d2d915","Tokin Vapes Disposable Pen AK-47","","VA0027"
"__export__.product_template_597_d23c56d5","Tokin Vapes Disposable Pen Banana","","VA0022"
